Epsilon,NormalWin,NormalLoss,NormalDraw
0.01,783885,90074,126041
0.02,796116,75953,127931
0.03,796709,76654,126637
0.04,793465,79327,127208
0.05,790210,81500,128290
0.06,786275,84703,129022
0.07,786160,85549,128291
0.08,781169,89012,129819
0.09,776067,91587,132346
0.1,775226,93588,131186
0.11,772766,96622,130612
0.12,767620,99339,133041
0.13,766430,102145,131425
0.14,761562,104817,133621
0.15,757779,108001,134220
0.16,755130,110449,134421
0.17,751524,113789,134687
0.18,747067,118383,134550
0.19,745108,120314,134578
0.2,741185,123778,135037
0.21,737814,127016,135170
0.22,733834,130724,135442
0.23,731305,133313,135382
0.24,727669,136886,135445
0.25,722845,140671,136484
0.26,720988,143333,135679
0.27,716617,147939,135444
0.28,712986,150492,136522
0.29,708809,154583,136608
0.3,704967,157413,137620
0.31,702015,160975,137010
0.32,698839,164375,136786
0.33,695130,167411,137459
0.34,690663,171581,137756
0.35,686737,175301,137962
0.36,684174,178504,137322
0.37,679489,182661,137850
0.38,677712,185128,137160
0.39,672150,189330,138520
0.4,668831,193024,138145
0.41,663433,197559,139008
0.42,661826,200131,138043
0.43,658156,203954,137890
0.44,653025,208549,138426
0.45,650254,211996,137750
0.46,646503,215137,138360
0.47,642644,218959,138397
0.48,638992,223479,137529
0.49,635645,226538,137817
0.5,631886,230406,137708
0.51,627897,234084,138019
0.52,624784,237410,137806
0.53,620106,241533,138361
0.54,616395,245540,138065
0.55,612651,249252,138097
0.56,608923,253779,137298
0.57,604547,258015,137438
0.58,600786,261159,138055
0.59,597282,265315,137403
0.6,594424,268392,137184
0.61,589547,273113,137340
0.62,586412,276672,136916
0.63,581849,280735,137416
0.64,577973,284739,137288
0.65,574537,288425,137038
0.66,571772,291877,136351
0.67,566414,296559,137027
0.68,562845,300899,136256
0.69,559248,304631,136121
0.7,554578,309293,136129
0.71,551213,313301,135486
0.72,547749,316833,135418
0.73,542683,321571,135746
0.74,540248,324798,134954
0.75,535602,329261,135137
0.76,531729,333535,134736
0.77,528143,337704,134153
0.78,523928,342200,133872
0.79,520953,345883,133164
0.8,516443,350113,133444
0.81,512402,354314,133284
0.82,509033,358263,132704
0.83,505187,362102,132711
0.84,501279,365767,132954
0.85,497012,370510,132478
0.86,493143,374925,131932
0.87,488831,380016,131153
0.88,483800,384345,131855
0.89,481536,387855,130609
0.9,476734,391970,131296
0.91,474077,396027,129896
0.92,469069,400914,130017
0.93,465266,405857,128877
0.94,461563,409437,129000
0.95,456535,414766,128699
0.96,452351,419568,128081
0.97,449432,422817,127751
0.98,444967,427246,127787
0.99,440968,431620,127412
