NumGames,NormalWin,NormalLoss,NormalDraw,NormalWinRate,LimitedActionsWin,LimitedActionsLoss,LimitedActionsDraw,LimitedActionsWinRate
1000,469,409,122,0.469,421,392,187,0.421
2000,967,793,240,0.4835,956,683,361,0.478
3000,1509,1127,364,0.503,1507,975,518,0.502333333
4000,2116,1385,499,0.529,2053,1244,703,0.51325
5000,2686,1687,627,0.5372,2659,1479,862,0.5318
6000,3289,1954,757,0.548166667,3259,1692,1049,0.543166667
7000,3930,2185,885,0.561428571,3857,1915,1228,0.551
8000,4598,2395,1007,0.57475,4446,2131,1423,0.55575
9000,5248,2609,1143,0.583111111,5055,2337,1608,0.561666667
10000,5893,2828,1279,0.5893,5665,2535,1800,0.5665
11000,6574,3019,1407,0.597636364,6289,2733,1978,0.571727273
12000,7237,3224,1539,0.603083333,6913,2923,2164,0.576083333
13000,7911,3420,1669,0.608538462,7552,3118,2330,0.580923077
14000,8605,3607,1788,0.614642857,8193,3297,2510,0.585214286
15000,9284,3815,1901,0.618933333,8844,3469,2687,0.5896
16000,9984,4000,2016,0.624,9479,3634,2887,0.5924375
17000,10694,4189,2117,0.629058824,10113,3801,3086,0.594882353
18000,11403,4360,2237,0.6335,10762,3963,3275,0.597888889
19000,12074,4557,2369,0.635473684,11421,4107,3472,0.601105263
20000,12780,4728,2492,0.639,12105,4239,3656,0.60525
21000,13451,4910,2639,0.64052381,12765,4383,3852,0.607857143
22000,14160,5076,2764,0.643636364,13429,4538,4033,0.610409091
23000,14866,5251,2883,0.646347826,14083,4691,4226,0.612304348
24000,15586,5411,3003,0.649416667,14721,4847,4432,0.613375
25000,16300,5577,3123,0.652,15397,4978,4625,0.61588
26000,16979,5765,3256,0.653038462,16062,5113,4825,0.617769231
27000,17691,5918,3391,0.655222222,16715,5271,5014,0.619074074
28000,18408,6078,3514,0.657428571,17391,5413,5196,0.621107143
29000,19113,6240,3647,0.659068966,18058,5559,5383,0.622689655
30000,19832,6388,3780,0.661066667,18733,5700,5567,0.624433333
31000,20562,6523,3915,0.663290323,19392,5839,5769,0.625548387
32000,21268,6686,4046,0.664625,20055,5973,5972,0.62671875
33000,21986,6838,4176,0.666242424,20719,6114,6167,0.627848485
34000,22706,6982,4312,0.667823529,21399,6239,6362,0.629382353
35000,23432,7134,4434,0.669485714,22074,6373,6553,0.630685714
36000,24171,7271,4558,0.671416667,22743,6520,6737,0.63175
37000,24922,7413,4665,0.673567568,23415,6651,6934,0.632837838
38000,25646,7553,4801,0.674894737,24099,6779,7122,0.634184211
39000,26370,7699,4931,0.676153846,24790,6901,7309,0.635641026
40000,27089,7834,5077,0.677225,25483,7031,7486,0.637075
41000,27822,7974,5204,0.678585366,26163,7152,7685,0.638121951
42000,28574,8106,5320,0.680333333,26835,7293,7872,0.638928571
43000,29304,8270,5426,0.681488372,27494,7427,8079,0.639395349
44000,30046,8402,5552,0.682863636,28159,7544,8297,0.639977273
45000,30784,8521,5695,0.684088889,28864,7658,8478,0.641422222
46000,31493,8664,5843,0.684630435,29551,7791,8658,0.642413043
47000,32218,8802,5980,0.685489362,30230,7918,8852,0.643191489
48000,32950,8934,6116,0.686458333,30906,8065,9029,0.643875
49000,33703,9048,6249,0.687816327,31600,8206,9194,0.644897959
50000,34425,9200,6375,0.6885,32303,8339,9358,0.64606
