Epsilon,NimWin,NimLoss,NimDraw,StatesInPolicy
0,3465,4535,0,893
0.01,4455,3545,0,1193
0.02,5199,2801,0,1162
0.03,5687,2313,0,1215
0.04,5730,2270,0,1209
0.05,5578,2422,0,1239
0.06,5351,2649,0,1238
0.07,5497,2503,0,1193
0.08,5771,2229,0,1232
0.09,5771,2229,0,1246
0.1,5826,2174,0,1281
0.11,5740,2260,0,1277
0.12,5732,2268,0,1259
0.13,5730,2270,0,1224
0.14,5539,2461,0,1273
0.15,5998,2002,0,1247
0.16,5854,2146,0,1263
0.17,5635,2365,0,1285
0.18,5741,2259,0,1288
0.19,5701,2299,0,1287
0.2,5788,2212,0,1245
0.21,5811,2189,0,1289
0.22,5686,2314,0,1248
0.23,5709,2291,0,1254
0.24,5681,2319,0,1257
0.25,5653,2347,0,1280
0.26,5534,2466,0,1286
0.27,5685,2315,0,1280
0.28,5636,2364,0,1292
0.29,5604,2396,0,1264
0.3,5632,2368,0,1295
0.31,5610,2390,0,1291
0.32,5697,2303,0,1272
0.33,5609,2391,0,1245
0.34,5618,2382,0,1277
0.35,5481,2519,0,1287
0.36,5621,2379,0,1293
0.37,5461,2539,0,1279
0.38,5382,2618,0,1268
0.39,5415,2585,0,1306
0.4,5436,2564,0,1300
0.41,5372,2628,0,1284
0.42,5425,2575,0,1307
0.43,5402,2598,0,1275
0.44,5348,2652,0,1294
0.45,5366,2634,0,1285
0.46,5337,2663,0,1306
0.47,5292,2708,0,1298
0.48,5193,2807,0,1298
0.49,5266,2734,0,1297
0.5,5207,2793,0,1295
0.51,5240,2760,0,1305
0.52,5257,2743,0,1310
0.53,5193,2807,0,1298
0.54,5217,2783,0,1278
0.55,5079,2921,0,1294
0.56,5087,2913,0,1293
0.57,5064,2936,0,1291
0.58,5088,2912,0,1299
0.59,5094,2906,0,1283
0.6,4985,3015,0,1309
0.61,5017,2983,0,1301
0.62,4973,3027,0,1304
0.63,4963,3037,0,1304
0.64,4975,3025,0,1315
0.65,4850,3150,0,1294
0.66,4807,3193,0,1297
0.67,4809,3191,0,1316
0.68,4845,3155,0,1302
0.69,4837,3163,0,1301
0.7,4776,3224,0,1300
0.71,4766,3234,0,1311
0.72,4755,3245,0,1302
0.73,4722,3278,0,1305
0.74,4697,3303,0,1294
0.75,4681,3319,0,1298
0.76,4679,3321,0,1304
0.77,4575,3425,0,1304
0.78,4710,3290,0,1308
0.79,4602,3398,0,1300
0.8,4595,3405,0,1306
0.81,4520,3480,0,1289
0.82,4472,3528,0,1305
0.83,4568,3432,0,1297
0.84,4387,3613,0,1299
0.85,4496,3504,0,1297
0.86,4378,3622,0,1303
0.87,4354,3646,0,1307
0.88,4330,3670,0,1303
0.89,4233,3767,0,1303
0.9,4326,3674,0,1302
0.91,4280,3720,0,1298
0.92,4204,3796,0,1307
0.93,4181,3819,0,1300
0.94,4168,3832,0,1302
0.95,4142,3858,0,1301
0.96,4126,3874,0,1299
0.97,4084,3916,0,1303
0.98,4021,3979,0,1307
0.99,4033,3967,0,1298
1,3949,4051,0,1306
