Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,4303,4646,1051,262
0.01,8421,401,1178,616
0.02,8352,377,1271,629
0.03,8450,374,1176,631
0.04,8307,428,1265,634
0.05,8292,460,1248,634
0.06,8176,521,1303,634
0.07,8263,514,1223,634
0.08,8104,624,1272,634
0.09,8203,626,1171,634
0.1,8189,666,1145,634
0.11,8048,713,1239,634
0.12,8003,708,1289,634
0.13,7992,786,1222,634
0.14,7928,840,1232,634
0.15,8023,810,1167,634
0.16,7895,917,1188,634
0.17,7839,890,1271,634
0.18,7892,927,1181,634
0.19,7799,966,1235,634
0.2,7715,1071,1214,634
0.21,7628,1097,1275,634
0.22,7641,1177,1182,634
0.23,7592,1153,1255,634
0.24,7534,1175,1291,634
0.25,7472,1219,1309,634
0.26,7569,1274,1157,634
0.27,7401,1287,1312,634
0.28,7358,1354,1288,634
0.29,7316,1411,1273,634
0.3,7313,1359,1328,634
0.31,7272,1497,1231,634
0.32,7134,1535,1331,634
0.33,7209,1566,1225,634
0.34,7175,1595,1230,634
0.35,7144,1604,1252,634
0.36,7023,1659,1318,634
0.37,7039,1682,1279,634
0.38,7031,1692,1277,634
0.39,6850,1828,1322,634
0.4,6915,1804,1281,634
0.41,6808,1911,1281,634
0.42,6811,1883,1306,634
0.43,6749,2027,1224,634
0.44,6813,1957,1230,634
0.45,6710,1995,1295,634
0.46,6639,2034,1327,634
0.47,6659,2071,1270,634
0.48,6486,2205,1309,634
0.49,6473,2252,1275,634
0.5,6555,2199,1246,634
0.51,6396,2330,1274,634
0.52,6401,2327,1272,634
0.53,6427,2328,1245,634
0.54,6273,2409,1318,634
0.55,6307,2407,1286,634
0.56,6247,2486,1267,634
0.57,6142,2603,1255,634
0.58,6160,2536,1304,634
0.59,6078,2668,1254,634
0.6,6046,2680,1274,634
0.61,6000,2715,1285,634
0.62,5941,2798,1261,634
0.63,5928,2780,1292,634
0.64,5907,2816,1277,634
0.65,5852,2821,1327,634
0.66,5820,2989,1191,634
0.67,5764,2967,1269,634
0.68,5679,2985,1336,634
0.69,5530,3154,1316,634
0.7,5628,3113,1259,634
0.71,5639,3117,1244,634
0.72,5622,3074,1304,634
0.73,5468,3214,1318,634
0.74,5424,3274,1302,634
0.75,5379,3320,1301,634
0.76,5390,3322,1288,634
0.77,5331,3417,1252,634
0.78,5289,3445,1266,634
0.79,5220,3520,1260,634
0.8,5225,3504,1271,634
0.81,5204,3575,1221,634
0.82,5147,3497,1356,634
0.83,5052,3689,1259,634
0.84,4984,3722,1294,634
0.85,4941,3718,1341,634
0.86,4975,3716,1309,634
0.87,4989,3745,1266,634
0.88,4868,3796,1336,634
0.89,4930,3828,1242,634
0.9,4804,3927,1269,634
0.91,4666,4084,1250,634
0.92,4630,4067,1303,634
0.93,4612,4137,1251,634
0.94,4574,4063,1363,634
0.95,4549,4198,1253,634
0.96,4579,4169,1252,634
0.97,4619,4116,1265,634
0.98,4488,4228,1284,634
0.99,4432,4343,1225,634
1,4290,4370,1340,634
