NumGames,NimExploringStartsWin,NimExploringStartsLoss,NimExploringStartsDraw,StatesInPolicy
1000,490,510,0,457
2000,1064,936,0,504
3000,1708,1292,0,511
4000,2291,1709,0,511
5000,2898,2102,0,511
6000,3524,2476,0,511
7000,4158,2842,0,511
8000,4804,3196,0,511
9000,5426,3574,0,511
10000,6072,3928,0,511
11000,6702,4298,0,511
12000,7336,4664,0,511
13000,7963,5037,0,511
14000,8584,5416,0,511
15000,9220,5780,0,511
16000,9853,6147,0,511
17000,10502,6498,0,511
18000,11169,6831,0,511
19000,11795,7205,0,511
20000,12442,7558,0,511
21000,13086,7914,0,511
22000,13744,8256,0,511
23000,14375,8625,0,511
24000,14995,9005,0,511
25000,15634,9366,0,511
26000,16263,9737,0,511
27000,16899,10101,0,511
28000,17528,10472,0,511
29000,18192,10808,0,511
30000,18853,11147,0,511
31000,19509,11491,0,511
32000,20155,11845,0,511
33000,20799,12201,0,511
34000,21436,12564,0,511
35000,22088,12912,0,511
36000,22720,13280,0,511
37000,23326,13674,0,511
38000,23955,14045,0,511
39000,24614,14386,0,511
40000,25249,14751,0,511
41000,25876,15124,0,511
42000,26502,15498,0,511
43000,27144,15856,0,511
44000,27767,16233,0,511
45000,28413,16587,0,511
46000,29047,16953,0,511
47000,29688,17312,0,511
48000,30336,17664,0,511
49000,30985,18015,0,511
50000,31635,18365,0,511
51000,32281,18719,0,511
52000,32930,19070,0,511
53000,33541,19459,0,511
54000,34147,19853,0,511
55000,34807,20193,0,511
56000,35434,20566,0,511
57000,36067,20933,0,511
58000,36720,21280,0,511
59000,37365,21635,0,511
60000,38011,21989,0,511
61000,38639,22361,0,511
62000,39302,22698,0,511
63000,39930,23070,0,511
64000,40561,23439,0,511
65000,41186,23814,0,511
66000,41812,24188,0,511
67000,42483,24517,0,511
68000,43102,24898,0,511
69000,43755,25245,0,511
70000,44396,25604,0,511
71000,45038,25962,0,511
72000,45657,26343,0,511
73000,46301,26699,0,511
74000,46918,27082,0,511
75000,47545,27455,0,511
76000,48191,27809,0,511
77000,48807,28193,0,511
78000,49456,28544,0,511
79000,50103,28897,0,511
80000,50738,29262,0,511
81000,51370,29630,0,511
82000,51984,30016,0,511
83000,52624,30376,0,511
84000,53259,30741,0,511
85000,53893,31107,0,511
86000,54551,31449,0,511
87000,55209,31791,0,511
88000,55853,32147,0,511
89000,56493,32507,0,511
90000,57164,32836,0,511
91000,57783,33217,0,511
92000,58431,33569,0,511
93000,59065,33935,0,511
94000,59720,34280,0,511
95000,60390,34610,0,511
96000,61045,34955,0,511
97000,61684,35316,0,511
98000,62333,35667,0,511
99000,62993,36007,0,511
100000,63605,36395,0,511
