NumGames,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
10000,4517,4016,1467,887
20000,10158,6891,2951,1041
30000,16286,9150,4564,1146
40000,22436,11068,6496,1214
50000,28898,12673,8429,1256
60000,35323,14176,10501,1311
70000,42060,15460,12480,1339
80000,48786,16705,14509,1368
90000,55576,17960,16464,1394
100000,62357,19046,18597,1425
110000,69171,20032,20797,1444
120000,76078,21019,22903,1461
130000,83077,21980,24943,1474
140000,90161,22735,27104,1489
150000,97260,23429,29311,1500
160000,104362,24104,31534,1506
170000,111609,24745,33646,1512
180000,118894,25295,35811,1521
190000,126115,25889,37996,1533
200000,133379,26451,40170,1551
210000,140744,26981,42275,1556
220000,148073,27513,44414,1567
230000,155411,28065,46524,1574
240000,162691,28632,48677,1584
250000,170054,29137,50809,1591
260000,177512,29620,52868,1603
270000,184850,30138,55012,1609
280000,192203,30692,57105,1613
290000,199560,31191,59249,1620
300000,206911,31714,61375,1626
310000,214258,32218,63524,1633
320000,221667,32729,65604,1639
330000,228966,33248,67786,1650
340000,236360,33749,69891,1655
350000,243666,34295,72039,1658
360000,251025,34786,74189,1662
370000,258432,35263,76305,1668
380000,265816,35740,78444,1668
390000,273157,36232,80611,1672
400000,280511,36680,82809,1675
410000,287915,37179,84906,1677
420000,295351,37631,87018,1679
430000,302784,38102,89114,1682
440000,310153,38587,91260,1683
450000,317469,39065,93466,1692
460000,324929,39527,95544,1696
470000,332322,40010,97668,1698
480000,339665,40484,99851,1699
490000,347034,40954,102012,1701
500000,354389,41404,104207,1701
510000,361817,41891,106292,1701
520000,369156,42385,108459,1703
530000,376548,42866,110586,1704
540000,383927,43321,112752,1711
550000,391301,43800,114899,1717
560000,398659,44271,117070,1721
570000,406003,44707,119290,1722
580000,413393,45177,121430,1723
590000,420744,45639,123617,1724
600000,428052,46142,125806,1728
610000,435425,46631,127944,1729
620000,442813,47118,130069,1732
630000,450145,47553,132302,1733
640000,457559,48043,134398,1734
650000,464866,48526,136608,1738
660000,472301,48989,138710,1742
670000,479661,49472,140867,1747
680000,487021,49924,143055,1750
690000,494405,50392,145203,1752
700000,501791,50872,147337,1756
710000,509145,51322,149533,1758
720000,516597,51788,151615,1761
730000,523875,52303,153822,1761
740000,531209,52794,155997,1768
750000,538557,53253,158190,1769
760000,545974,53728,160298,1770
770000,553401,54149,162450,1771
780000,560743,54621,164636,1772
790000,568119,55104,166777,1772
800000,575481,55583,168936,1775
810000,582884,56039,171077,1775
820000,590263,56466,173271,1776
830000,597576,56957,175467,1779
840000,604914,57405,177681,1779
850000,612334,57845,179821,1781
860000,619680,58313,182007,1783
870000,627043,58761,184196,1784
880000,634438,59238,186324,1784
890000,641785,59713,188502,1784
900000,649177,60202,190621,1784
910000,656635,60647,192718,1787
920000,664051,61155,194794,1790
930000,671454,61643,196903,1798
940000,678874,62130,198996,1805
950000,686159,62598,201243,1811
960000,693554,63065,203381,1814
970000,700911,63534,205555,1814
980000,708313,64006,207681,1816
990000,715777,64495,209728,1817
1000000,723145,64972,211883,1817
