NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,4276,4350,1374,1664
20000,8494,8523,2983,1948
30000,13245,11898,4857,2143
40000,18112,14950,6938,2266
50000,23380,17576,9044,2370
60000,28798,19939,11263,2483
70000,34303,22074,13623,2546
80000,39947,23967,16086,2607
90000,45627,25770,18603,2679
100000,51382,27547,21071,2730
110000,57171,29180,23649,2769
120000,63111,30758,26131,2806
130000,69190,32193,28617,2838
140000,75365,33552,31083,2871
150000,81616,34794,33590,2911
160000,87972,35895,36133,2932
170000,94450,36923,38627,2958
180000,100909,37951,41140,2980
190000,107412,38947,43641,3004
200000,114018,39827,46155,3016
210000,120749,40613,48638,3037
220000,127453,41451,51096,3052
230000,134223,42212,53565,3063
240000,141020,42972,56008,3076
250000,147959,43667,58374,3096
260000,154835,44394,60771,3108
270000,161753,45098,63149,3119
280000,168717,45723,65560,3136
290000,175654,46395,67951,3146
300000,182564,47051,70385,3153
310000,189504,47659,72837,3162
320000,196511,48277,75212,3173
330000,203502,48906,77592,3188
340000,210496,49471,80033,3205
350000,217509,50074,82417,3217
360000,224458,50676,84866,3220
370000,231536,51222,87242,3237
380000,238509,51825,89666,3241
390000,245612,52400,91988,3251
400000,252716,52886,94398,3257
410000,259809,53384,96807,3265
420000,266850,53905,99245,3278
430000,273893,54407,101700,3288
440000,280999,54886,104115,3294
450000,288146,55393,106461,3302
460000,295239,55873,108888,3308
470000,302346,56392,111262,3314
480000,309400,56890,113710,3319
490000,316639,57364,115997,3324
500000,323819,57890,118291,3332
510000,330838,58387,120775,3335
520000,338014,58838,123148,3338
530000,345220,59294,125486,3341
540000,352400,59780,127820,3346
550000,359467,60283,130250,3352
560000,366648,60794,132558,3359
570000,373791,61282,134927,3362
580000,380969,61738,137293,3366
590000,388111,62193,139696,3376
600000,395305,62660,142035,3383
610000,402522,63098,144380,3384
620000,409620,63571,146809,3388
630000,416824,63994,149182,3396
640000,423960,64485,151555,3401
650000,430992,64937,154071,3406
660000,438076,65388,156536,3409
670000,445235,65856,158909,3411
680000,452330,66344,161326,3413
690000,459423,66781,163796,3421
700000,466645,67207,166148,3425
710000,473801,67635,168564,3429
720000,480921,68081,170998,3434
730000,488002,68585,173413,3439
740000,495135,69075,175790,3442
750000,502275,69533,178192,3443
760000,509464,69978,180558,3447
770000,516588,70458,182954,3455
780000,523661,70944,185395,3456
790000,530742,71371,187887,3459
800000,537793,71837,190370,3463
810000,544956,72316,192728,3466
820000,552133,72741,195126,3468
830000,559298,73200,197502,3469
840000,566483,73614,199903,3469
850000,573651,74070,202279,3474
860000,580681,74571,204748,3480
870000,587868,75017,207115,3485
880000,594992,75499,209509,3488
890000,602022,76007,211971,3491
900000,609095,76433,214472,3494
910000,616179,76877,216944,3496
920000,623298,77347,219355,3501
930000,630466,77799,221735,3506
940000,637596,78214,224190,3512
950000,644642,78681,226677,3513
960000,651670,79137,229193,3514
970000,658811,79564,231625,3517
980000,665886,80032,234082,3522
990000,673032,80491,236477,3524
1000000,680137,80942,238921,3525
